USA-Ground--Tanks,8850
Russia-Ground-Tanks,15398
USA-Ground-Helicopters,1830
Russia-Ground-Helicopters,677
USA-Naval-Aircraft Carriers,10
Russia-Naval-Aircraft Carriers,1
USA-Naval-Destroyers,62
Russia-Naval-Destroyers,18
USA-Naval-Frigates,6
Russia-Naval-Frigates,13
USA-Naval-Amphibious War Ship,33
Russia-Naval-Amphibious War Ship,0
USA-Naval-Cruisers,22
Russia-Naval-Cruisers,6
USA-Naval-Corvettes,0
Russia-Naval-Corvettes,48
USA-Naval-Nuclear Submarines,72
Russia-Naval-Nuclear Submarines,45
USA-Naval-Non Nuclear Submarines,0
Russia-Naval-Non Nuclear Submarines,22
USA-Aircraft,3680
Russia-Aircraft,1337
