Naval-China-Aircraft Carriers,1
Naval-USA-Aircraft Carriers,10
Naval-Saudi Arabia-Aircraft Carriers,0
Naval-Russia-Aircraft Carriers,1
Naval-UK-Aircraft Carriers,1
Naval-China-Destroyers,27
Naval-USA-Destroyers,62
Naval-Saudi Arabia-Destroyers,3
Naval-Russia-Destroyers,18
Naval-UK-Destroyers,6
Naval-China-Frigates,47
Naval-USA-Frigates,6
Naval-Saudi Arabia-Frigates,4
Naval-Russia-Frigates,13
Naval-UK-Frigates,13
Naval-China-Amphibious War Ship,4
Naval-USA-Amphibious War Ship,33
Naval-Saudi Arabia-Amphibious War Ship,0
Naval-Russia-Amphibious War Ship,0
Naval-UK-Amphibious War Ship,6
Naval-China-Cruisers,0
Naval-USA-Cruisers,22
Naval-Saudi Arabia-Cruisers,0
Naval-Russia-Cruisers,6
Naval-UK-Cruisers,0
Naval-China-Corvettes,27
Naval-USA-Corvettes,0
Naval-Saudi Arabia-Corvettes,4
Naval-Russia-Corvettes,48
Naval-UK-Corvettes,0
Naval-China-Nuclear Submarines,9
Naval-USA-Nuclear Submarines,72
Naval-Saudi Arabia-Nuclear Submarines,0
Naval-Russia-Nuclear Submarines,45
Naval-UK-Nuclear Submarines,11
Naval-China-Non Nuclear Submarines,60
Naval-USA-Non Nuclear Submarines,0
Naval-Saudi Arabia-Non Nuclear Submarines,0
Naval-Russia-Non Nuclear Submarines,22
Naval-UK-Non Nuclear Submarines,0
